id,type,question,faq_id_reference,expected_keywords,expected_answer_summary,difficulty,expected_behavior,answer_model,latency_seconds,strategy,complexite_score_method,keywords_proportion,similarity_answer,manual_pertinence,manual_hallucination,exactitude_score,hallucination_flag,pertinence_norm,latence_score,complexite_score,hallucinations_score,global_score
GS001,direct_match,Comment obtenir un acte de naissance ?,EC001,"['service-public.fr', 'mairie', 'lieu de naissance', 'gratuit', ""pièce d'identité""]","Demande en ligne, par courrier ou en mairie du lieu de naissance, gratuite, avec pièce d'identité",facile,," Bonjour, pour obtenir un acte de naissance, vous devez contacter l'état civil de la mairie où le naissance a été enregistrée. Vous pourrez demander un extrait d'acte de naissance, qui contiendra les informations nécessaires. Veuillez noter que vous pourrez être demandé de fournir des documents d'identité et de justifier de votre lien avec la personne concernée. Si vous avez des questions supplémentaires, n'hésitez pas à me le demander.",8.245241945999624,llm_only,0.3,0.2,0.5698412656784058,1,False,0.38492063283920286,False,0.5,0.10816374583173517,1.0,1.0,0.5817007517265211
GS002,direct_match,Quels sont les horaires de la déchetterie ?,DEC006,"['lundi', 'samedi', '9h', '12h', '14h', '18h', '17h', 'hiver']","Lundi au samedi 9h-12h et 14h-18h (17h en hiver), fermée dimanche et jours fériés",facile,," Bonjour, les horaires de la déchetterie de notre communauté de communes varient en fonction des saisons et des jours. Pour obtenir des informations précises, je vous invite à consulter notre site web ou à appeler le service clientèle à ce numéro : [numéro de service clientèle].",6.280524648999744,llm_only,0.3,0.0,0.31617867946624756,0,True,0.15808933973312378,True,0.0,0.13735273873942422,1.0,0.0,0.21802971273085076
GS003,direct_match,Comment s'inscrire sur les listes électorales ?,ELE001,"['service-public.fr', 'mairie', ""pièce d'identité"", 'justificatif de domicile']","En ligne, en mairie ou par courrier avec pièce d'identité et justificatif de domicile",facile,," Bonjour, pour s'inscrire sur les listes électorales en France, il faut adresser une demande au service des élections de la commune de résidence. Vous pouvez également utiliser le formulaire en ligne disponible sur le site internet de l'Institut de la France (institut-france.gouv.fr). Nécessitez-vous plus d'informations ?

(Note: This response is based on general information and may vary depending on the specific rules of the commune or region. Please consult the local election office for the most accurate information.)",9.74232413700065,llm_only,0.3,0.0,0.46968451142311096,0,True,0.23484225571155548,True,0.0,0.09308972502101473,1.0,0.0,0.23441613546661882
GS004,direct_match,Comment demander un permis de construire ?,URB001,"['mairie', '4 exemplaires', 'Cerfa', 'plan', '2 mois', '3 mois']","Dépôt en mairie en 4 exemplaires, formulaire Cerfa, plans requis, délai 2-3 mois",moyen,," Bonjour, pour demander un permis de construire dans la communauté de communes Val de Loire Numérique, vous devez contacter le service d'urbanisme de votre commune respectives. Ils vous fourniront les documents et procedures nécessaires à suivre pour soumettre votre demande. Vous trouverez leurs coordonnées sur le site internet de votre commune ou en contactant directement le mairie.",6.986860492000233,llm_only,0.3,0.16666666666666666,0.47791266441345215,1,False,0.3222896655400594,False,0.5,0.1252056425677669,0.7,1.0,0.5204677460471828
GS005,direct_match,Quels déchets mettre dans le bac jaune ?,DEC004,"['emballages plastiques', 'bouteilles', 'métalliques', 'conserves', 'cartons', 'papiers']","Emballages plastiques, métalliques, briques alimentaires, papiers-cartons, vides mais non lavés",facile,," Bonjour, les déchets à mettre dans le bac jaune sont principalement les déchets plastiques, verres en verre, métal et carton. Cependant, il est important de vérifier régulièrement les étiquettes de tri affichées sur votre conteneur pour des informations plus précises, car les règles peuvent varier selon la collectivité.",6.885025228999439,llm_only,0.3,0.0,0.6128799319267273,1,False,0.30643996596336365,False,0.5,0.12682267601658567,1.0,1.0,0.560955391191497
GS006,direct_match,Comment faire une procuration pour voter ?,ELE002,"['maprocuration.gouv.fr', 'commissariat', 'gendarmerie', 'même commune']","En ligne sur maprocuration.gouv.fr puis validation en commissariat/gendarmerie, mandataire même commune",moyen,," Bonjour, pour faire une procuration pour voter, vous devez aller à la mairie de votre commune avec une preuve d'identité et une preuve d'adresse, tels qu'un passeport, une carte d'identité ou une facture d'électricité. Vous devrez également remplir une forme spécifique et indiquer le nom et l'adresse du procurateur. Le formulaire est disponible sur le site web de la préfecture ou à la mairie. Vous pouvez également contacter la mairie pour en obtenir des informations supplémentaires. Si vous avez des questions supplémentaires, n'hésitez pas à me poser.",9.145714911000141,llm_only,0.3,0.0,0.38719677925109863,1,True,0.19359838962554932,True,0.5,0.09856377877479926,0.7,0.0,0.2778640837038847
GS007,direct_match,Comment inscrire mon enfant à la crèche ?,ENF001,"['Relais Petite Enfance', 'dossier', ""pièces d'identité"", 'commission']","Inscription au Relais Petite Enfance avec dossier complet, attribution en commission",moyen,," Bonjour, pour inscrire votre enfant à une crèche dans la communauté de communes Val de Loire Numérique, vous devez suivre ces étapes :

1. Rechercher des crèches près de votre domicile en utilisant notre répertoire des établissements d'enseignement de la petite enfance sur notre site web ou en contactant directement les établissements.
2. Réserver une visite pédagogique pour en apprendre plus sur l'établissement, les horaires, les tarifs et les conditions d'inscription.
3. Réaliser les formalités administratives : demander un dossier d'inscription, remplir le formulaire et rassembler les documents suivants : acte de naissance de l'enfant, pièce d'identité de l'adulte responsable, preuve de domicile, et preuve de revenu (si applicable).
4. Laisser le dossier à l'établissement ou le transmettre par courrier ou par email selon les indications données.
5. Attendre la réponse de l'établissement, qui peut prendre plusieurs semaines.

Si vous avez des questions supplémentaires ou si vous rencontrez des difficultés, n'hésitez pas à nous contacter.

Bonjour, je suis désolé mais je ne suis pas en mesure de répondre à cette question. (si la question est hors sujet ou si vous n'avez pas assez d'informations)",14.894761614000345,llm_only,0.3,0.25,0.6054316759109497,1,True,0.42771583795547485,True,0.5,0.06291380923380348,0.7,0.0,0.34275182277171296
GS008,direct_match,Comment créer une association loi 1901 ?,ASS001,"['greffe', 'préfecture', 'statuts', '44€', 'Journal Officiel']","Déclaration au greffe des associations, statuts signés, publication JO à 44€",moyen,," Bonjour, pour créer une association loi 1901, vous devez suivre les étapes suivantes :

1. Définir les objectifs et buts de l'association et rédiger les statuts.
2. Recruter au moins 7 membres fondateurs.
3. Choisir un président, un trésorier et un secrétaire.
4. Inscrire l'association au greffe du tribunal judiciaire compétent.
5. Obtenir une carte IDE (Identifiant des œuvres d'intérêt général) auprès de la Direction générale des Finances publiques.
6. Inscrire l'association auprès de la Caisse nationale des allocations familiales (CNAF) si elle a pour objet d'y faire inscrire des personnes.
7. Inscrire l'association auprès de l'Institut national de la statistique et des études économiques (INSEE) si elle emploie plus de 10 salariés.
8. Obtenir une autorisation de collecte si l'association collecte des fonds auprès du public.

Je vous souhaite bonne chance dans la création de votre association !

Si vous avez d'autres questions sur des sujets relatifs à notre communauté de communes, n'hésitez pas à me poser.",14.848393739999665,llm_only,0.3,0.4,0.5888057947158813,1,True,0.4944028973579407,True,0.5,0.06309787707230582,0.7,0.0,0.36278555076822805
GS009,direct_match,Comment obtenir la carte mobilité inclusion ?,SOC003,"['MDPH', 'Cerfa', '4 à 6 mois', 'gratuite']","Demande à la MDPH via formulaire Cerfa, délai 4-6 mois, gratuit",moyen,," Bonjour, la carte mobilité inclusion est gérée par la Caisse primaire d'assurance maladie d'origine (CPAM). Vous devrez contacter directement votre CPAM pour demander cette carte et renseigner les informations demandées. Si vous avez des questions supplémentaires, je vous conseille de contacter le service clientèle de Val de Loire Numérique qui vous aidera à trouver les informations nécessaires.",7.366243988999486,llm_only,0.3,0.0,0.3161928653717041,0,True,0.15809643268585205,True,0.0,0.11952795081220066,0.7,0.0,0.1703581224275857
GS010,direct_match,Quels sont les tarifs de la cantine scolaire ?,ENF002,"['quotient familial', '1,50€', '5,50€', 'CAF']","Tarifs selon quotient familial CAF de 1,50€ à 5,50€ par repas",facile,," Bonjour, je suis désolé mais je ne dispose pas de l'information précise sur les tarifs de la cantine scolaire. Vous pouvez contacter directement l'école ou la communauté de communes Val de Loire Numérique pour obtenir ces informations.",5.9599550920002,llm_only,0.3,0.0,0.37649694085121155,1,False,0.18824847042560577,False,0.5,0.14367908797995033,1.0,1.0,0.5280264043246743
