id,type,question,faq_id_reference,expected_keywords,expected_answer_summary,difficulty,expected_behavior,answer_model,latency_seconds
GS001,direct_match,Comment obtenir un acte de naissance ?,EC001,"['service-public.fr', 'mairie', 'lieu de naissance', 'gratuit', ""pièce d'identité""]","Demande en ligne, par courrier ou en mairie du lieu de naissance, gratuite, avec pièce d'identité",facile,," Bonjour, pour obtenir un acte de naissance, vous devez contacter la mairie ou l'état civil de la commune où le naissances a eu lieu. Vous pourrez faire une demande en personne, par mail ou par lettre recommandée avec piècejointe d'une preuve d'identité et d'un justificatif d'adresse. Les délais et les documents demandés peuvent varier d'une commune à l'autre, je vous conseille donc de contacter directement la mairie concernée pour en savoir plus.",5.614940666000621
GS002,direct_match,Quels sont les horaires de la déchetterie ?,DEC006,"['lundi', 'samedi', '9h', '12h', '14h', '18h', '17h', 'hiver']","Lundi au samedi 9h-12h et 14h-18h (17h en hiver), fermée dimanche et jours fériés",facile,," Bonjour, les horaires de la déchetterie de notre communauté de communes varient en fonction des saisons. Vous pouvez consulter les horaires actuels en consultant notre site web ou en appelant au numéro de téléphone indiqué sur notre page web. Je vous souhaite une bonne journée.",4.733175344001211
GS003,direct_match,Comment s'inscrire sur les listes électorales ?,ELE001,"['service-public.fr', 'mairie', ""pièce d'identité"", 'justificatif de domicile']","En ligne, en mairie ou par courrier avec pièce d'identité et justificatif de domicile",facile,," Bonjour, pour s'inscrire sur les listes électorales dans le contexte de la collectivité territoriale, il faut adresser une demande à la Mairie de sa commune résidentielle. Les informations détaillées et les documents nécessaires peuvent varier d'une commune à l'autre, il est donc conseillé de contacter directement la Mairie pour en obtenir les détails précis.",4.212118153998745
GS004,direct_match,Comment demander un permis de construire ?,URB001,"['mairie', '4 exemplaires', 'Cerfa', 'plan', '2 mois', '3 mois']","Dépôt en mairie en 4 exemplaires, formulaire Cerfa, plans requis, délai 2-3 mois",moyen,," Bonjour, pour demander un permis de construire auprès de la Communauté de communes Val de Loire Numérique, vous devez suivre les étapes suivantes :

1. Contactez d'abord votre maire ou l'adjoint au maire pour obtenir les informations préliminaires et les documents nécessaires.
2. Faites une demande en présentant les documents exigés, tels que les plans de construction, les justificatifs d'urbanisme, les justificatifs de propriété et les justificatifs de moyens de payement.
3. L'expertise des plans et des études techniques est effectuée par un organisme agréé.
4. Le dossier est examiné par la commission d'urbanisme et le conseil municipal.
5. Si le permis est accordé, vous recevrez une décision en forme de permis.

Si vous avez des questions supplémentaires, n'hésitez pas à me poser.",8.520133465999606
GS005,direct_match,Quels déchets mettre dans le bac jaune ?,DEC004,"['emballages plastiques', 'bouteilles', 'métalliques', 'conserves', 'cartons', 'papiers']","Emballages plastiques, métalliques, briques alimentaires, papiers-cartons, vides mais non lavés",facile,," Bonjour, les déchets à mettre dans le bac jaune sont principalement les déchets plastiques, verres et métalliques. Cependant, il est important de vérifier les symboles de tri mentionnés sur le fond du bac ou sur le couvercle, car certains bacs jaunes peuvent être réservés à des matériaux spécifiques. N'hésitez pas à contacter votre collectivité territoriale pour obtenir des informations plus précises.",4.642471449998993
GS006,direct_match,Comment faire une procuration pour voter ?,ELE002,"['maprocuration.gouv.fr', 'commissariat', 'gendarmerie', 'même commune']","En ligne sur maprocuration.gouv.fr puis validation en commissariat/gendarmerie, mandataire même commune",moyen,," Bonjour, pour faire une procuration pour voter, vous devez aller à la mairie de votre commune avec une pièce d'identité valide. Vous devrez remplir une forme spéciale et signer en présence d'un fonctionnaire. La procuration doit être adressée au président du conseil municipal ou au greffier. Si vous avez des questions supplémentaires, n'hésitez pas à nous contacter.",4.221014885999466
GS007,direct_match,Comment inscrire mon enfant à la crèche ?,ENF001,"['Relais Petite Enfance', 'dossier', ""pièces d'identité"", 'commission']","Inscription au Relais Petite Enfance avec dossier complet, attribution en commission",moyen,," Bonjour, pour inscrire votre enfant à une crèche gérée par la Communauté de Communes Val de Loire Numérique, vous devez suivre les étapes suivantes :

1. Rechercher les crèches gérées par notre communauté territoriale en consultant notre site internet ou en contactant notre service social.
2. Réaliser une demande d'inscription en fournissant les documents suivants : acte de naissance de l'enfant, pièce d'identité de l'adulte responsable, et preuve de résidence.
3. Attendre la réponse de la crèche concernée, qui vous informera si votre enfant est accepté ou non, et si c'est le cas, des détails sur la date d'intégration et les formalités supplémentaires à suivre.

Si vous avez des questions supplémentaires, n'hésitez pas à nous contacter.",8.010673388000214
GS008,direct_match,Comment créer une association loi 1901 ?,ASS001,"['greffe', 'préfecture', 'statuts', '44€', 'Journal Officiel']","Déclaration au greffe des associations, statuts signés, publication JO à 44€",moyen,," Bonjour, pour créer une association sous la loi 1901, vous devez suivre ces étapes :

1. Définir les objectifs et buts de l'association et rédiger les statuts.
2. Recruter au moins 7 membres fondateurs et obtenir leur adhésion écrite.
3. Choisir un nom unique et valide pour l'association et le faire inscrire au greffe du tribunal de commerce.
4. Déposer les statuts et la liste des membres fondateurs à la préfecture pour obtenir l'agrément de l'État.
5. Ouvrir une banque compte pour l'association et déposer les statuts et l'agrément de l'État auprès du notaire pour qu'il enregistre l'association et délivre les actes de création.

Je vous souhaite bonne chance dans votre procédure de création d'association !

Si vous avez d'autres questions, n'hésitez pas à me poser.",8.829742020001504
GS009,direct_match,Comment obtenir la carte mobilité inclusion ?,SOC003,"['MDPH', 'Cerfa', '4 à 6 mois', 'gratuite']","Demande à la MDPH via formulaire Cerfa, délai 4-6 mois, gratuit",moyen,," Bonjour, pour obtenir la carte mobilité inclusion, vous devez contacter l'établissement social compétent dans votre région. Ce dernier vous fournira les informations détaillées et les démarches à suivre pour demander cette carte. Vous pourrez également consulter le site internet de la communauté de communes Val de Loire Numérique ou de la région pour en savoir plus sur les conditions d'éligibilité et les formalités administratives. Je vous souhaite bonne chance dans votre demande.",4.938507659999232
GS010,direct_match,Quels sont les tarifs de la cantine scolaire ?,ENF002,"['quotient familial', '1,50€', '5,50€', 'CAF']","Tarifs selon quotient familial CAF de 1,50€ à 5,50€ par repas",facile,," Bonjour, je suis désolé mais je ne suis pas en mesure de répondre à cette question. La tarification des cantines scolaires dépend des établissements scolaires individuels et de la collectivité territoriale concernée. Vous pouvez contacter directement votre école ou la mairie de votre commune pour obtenir des informations précises sur les tarifs de la cantine scolaire.",3.9488009760007117
GS011,reformulation,"Je voudrais un extrait de naissance, comment faire ?",EC001,"['service-public.fr', 'mairie', 'lieu de naissance', 'gratuit']",Même réponse que pour acte de naissance,facile,," Bonjour, pour obtenir un extrait de naissance, vous devez adressuer votre demande au registre des naissances de l'état civil compétent. Vous pouvez le faire en personne en présentant une pièce d'identité ou par voie postale en fournissant une copie de votre carte d'identité et en payant la taxe de délivrance. Vous pouvez également demander un extrait de naissance en ligne sur le site internet de l'état civil (si disponible dans votre commune). Veuillez noter que les délais et les modalités de demande peuvent varier d'une commune à l'autre. Si vous avez des questions supplémentaires, n'hésitez pas à me contacter.",7.260484925998753
GS012,reformulation,C'est quoi les jours de ramassage des poubelles ?,DEC001,"['mardi', 'vendredi', 'mercredi', 'centre-ville', 'périphérie']","Mardi et vendredi centre-ville, mercredi quartiers périphériques",facile,," Bonjour, les jours de ramassage des poubelles varient selon le calendrier défini par la collectivité territoriale. Vous pouvez consulter ce calendrier sur le site web de la commune ou en contactant le service des déchets de votre commune.",4.325056843999846
GS013,reformulation,On peut jeter quoi dans la poubelle de recyclage ?,DEC004,"['emballages', 'plastique', 'métal', 'carton', 'papier']","Emballages plastiques, métalliques, cartons, papiers",facile,," Bonjour, vous pouvez jeter dans la poubelle de recyclage du verre, le papier, les cartons, les plastiques marqués avec les numéros 1, 2, 4 et 5, les canettes et bouteilles en aluminium et les emballages en carton ondulé. N'oubliez pas de les nettoyer avant de les jeter. Si vous avez des doutes sur quel conteneur utiliser, consultez le tri-selecteur de votre collectivité territoriale ou contactez le service des déchets de votre commune.",5.756277815999056
